COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision,Estimated re-assessment,Domain,Unique_ID,Domain_status,Taxonomic group_status,Scientific name_status,COSEWIC common name_status,COSEWIC population_status,COSEWIC status_status,Scheduled Assessment,Range_status
Tiger Salamander,Prairie / Boreal population,Non-active,2012-11-25,Ambystoma tigrinum,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, Manitoba, Saskatchewan",Amphibians,NA,NA,2022-11-25,Terrestrial,Ambystoma tigrinum - Tiger Salamander (Prairie / Boreal population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Tiger Salamander,Southern Mountain population,Non-active,2012-11-25,Ambystoma tigrinum,Tiger Salamander,Southern Mountain population,No Status,2018-02-02,No schedule,2003-06-05,British Columbia,Amphibians,NA,Struck - WS reassignment,2022-11-25,Terrestrial,Ambystoma tigrinum - Tiger Salamander (Southern Mountain population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Scarlet Ammannia,NA,Endangered,2001-05-01,Ammannia robusta,Scarlet Ammannia,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,"British Columbia, Ontario",Vascular Plants,NA,Added to list,2011-05-01,Terrestrial,Ammannia robusta - Scarlet Ammannia,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Sand Darter,NA,Non-active,2009-11-27,Ammocrypta pellucida,Eastern Sand Darter,NA,No Status,2003-06-05,No schedule,9999-01-01,"Ontario, Quebec",Fishes (freshwater),NA,Added to list,2019-11-27,Aquatic,Ammocrypta pellucida - Eastern Sand Darter,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Sand Darter,Ontario population,Non-active,2022-05-11,Ammocrypta pellucida,Eastern Sand Darter,Ontario population,Threatened,9999-01-01,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),NA,NA,2032-05-11,Aquatic,Ammocrypta pellucida - Eastern Sand Darter (Ontario population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Sand Darter,Quebec population,Special Concern,2022-05-11,Ammocrypta pellucida,Eastern Sand Darter,Quebec population,Threatened,9999-01-01,Schedule 1,2003-06-05,Quebec,Fishes (freshwater),Status change,Pending,2032-05-11,Aquatic,Ammocrypta pellucida - Eastern Sand Darter (Quebec population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Sand Darter,Southwestern Ontario population,Threatened,2022-05-11,Ammocrypta pellucida,Eastern Sand Darter,Southwestern Ontario population,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),Addition,Pending,2032-05-11,Aquatic,Ammocrypta pellucida - Eastern Sand Darter (Southwestern Ontario population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Sand Darter,West Lake population,Threatened,2022-05-11,Ammocrypta pellucida,Eastern Sand Darter,West Lake population,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),Addition,Pending,2032-05-11,Aquatic,Ammocrypta pellucida - Eastern Sand Darter (West Lake population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Baird's Sparrow,NA,Special Concern,2012-05-04,Ammodramus bairdii,Baird's Sparrow,NA,Special Concern,2017-02-03,Schedule 1,2017-02-03,"Alberta, Manitoba, Saskatchewan",Birds,NA,Added to list,2022-05-04,Terrestrial,Ammodramus bairdii - Baird's Sparrow,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Henslow's Sparrow,NA,Endangered,2011-05-06,Ammodramus henslowii,Henslow's Sparrow,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,"Ontario, Quebec",Birds,NA,Added to list,2021-05-06,Terrestrial,Ammodramus henslowii - Henslow's Sparrow,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Nelson's Sharp-tailed Sparrow,NA,Not at Risk,1998-04-01,Ammodramus nelsoni,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,NA,NA,2008-04-01,Terrestrial,Ammodramus nelsoni - Nelson's Sharp-tailed Sparrow,NA,NA,NA,NA,NA,NA,9999-01-01,NA
"Grasshopper Sparrow, pratensis subspecies",NA,Special Concern,2013-11-01,Ammodramus savannarum pratensis,"Grasshopper Sparrow, pratensis subspecies",NA,Special Concern,2017-11-02,Schedule 1,2017-11-02,"Ontario, Quebec",Birds,NA,Added to list,2023-11-01,Terrestrial,"Ammodramus savannarum pratensis - Grasshopper Sparrow, pratensis subspecies",NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Wolffish,NA,Threatened,2012-11-25,Anarhichas denticulatus,Northern Wolffish,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,"Arctic Ocean, Atlantic Ocean",Fishes (marine),NA,Added to list,2022-11-25,Aquatic,Anarhichas denticulatus - Northern Wolffish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Atlantic Wolffish,NA,Special Concern,2012-11-25,Anarhichas lupus,Atlantic Wolffish,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,"Arctic Ocean, Atlantic Ocean",Fishes (marine),NA,Added to list,2022-11-25,Aquatic,Anarhichas lupus - Atlantic Wolffish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Spotted Wolffish,NA,Threatened,2012-11-25,Anarhichas minor,Spotted Wolffish,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,"Arctic Ocean, Atlantic Ocean",Fishes (marine),NA,Added to list,2022-11-25,Aquatic,Anarhichas minor - Spotted Wolffish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bering Wolffish,NA,Data Deficient,2002-11-01,Anarhichas orientalis,Bering Wolffish,NA,NA,9999-01-01,NA,9999-01-01,Arctic Ocean,Fishes (marine),NA,NA,2012-11-01,Aquatic,Anarhichas orientalis - Bering Wolffish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Wolf-eel,NA,Not at Risk,2003-05-01,Anarrhichthys ocellatus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Fishes (marine),NA,NA,2013-05-01,Aquatic,Anarrhichthys ocellatus - Wolf-eel,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Edwards' Beach Moth,NA,Endangered,2021-05-05,Anarta edwardsii,Edwards' Beach Moth,NA,Endangered,2011-02-04,Schedule 1,2011-02-04,British Columbia,Arthropods,NA,Added to list,2031-05-05,Terrestrial,Anarta edwardsii - Edwards' Beach Moth,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Toad,NA,Non-active,2012-11-25,Anaxyrus boreas,Western Toad,NA,No Status,2018-05-30,No schedule,2005-01-12,"Alberta, British Columbia, Northwest Territories, Yukon",Amphibians,NA,Struck - WS reassignment,2022-11-25,Terrestrial,Anaxyrus boreas - Western Toad,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Toad,Calling population,Special Concern,2012-11-25,Anaxyrus boreas,Western Toad,Calling population,Special Concern,9999-01-01,Schedule 1,2005-01-12,"Alberta, British Columbia",Amphibians,NA,NA,2022-11-25,Terrestrial,Anaxyrus boreas - Western Toad (Calling population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Toad,Non-calling population,Special Concern,2012-11-25,Anaxyrus boreas,Western Toad,Non-calling population,Special Concern,9999-01-01,Schedule 1,2005-01-12,"Alberta, British Columbia, Northwest Territories, Yukon",Amphibians,NA,NA,2022-11-25,Terrestrial,Anaxyrus boreas - Western Toad (Non-calling population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Great Plains Toad,NA,Special Concern,2023-05-05,Anaxyrus cognatus,Great Plains Toad,NA,Special Concern,2005-01-12,Schedule 1,2005-01-12,"Alberta, Manitoba, Saskatchewan",Amphibians,NA,Added to list,2033-05-05,Terrestrial,Anaxyrus cognatus - Great Plains Toad,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Fowler's Toad,NA,Endangered,2010-04-25,Anaxyrus fowleri,Fowler's Toad,NA,Endangered,2012-06-20,Schedule 1,2003-06-05,Ontario,Amphibians,NA,Uplisted: Threatened to endangered,2020-04-25,Terrestrial,Anaxyrus fowleri - Fowler's Toad,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Wandering Salamander,NA,Special Concern,2014-05-02,Aneides vagrans,Wandering Salamander,NA,Special Concern,2018-02-02,Schedule 1,2018-02-02,British Columbia,Amphibians,NA,Added to list,2024-05-02,Terrestrial,Aneides vagrans - Wandering Salamander,NA,NA,NA,NA,NA,NA,9999-01-01,NA
American Eel,NA,Threatened,2012-05-04,Anguilla rostrata,American Eel,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Quebec",Fishes (freshwater),Addition,Pending,2022-05-04,Aquatic,Anguilla rostrata - American Eel,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Banded Tigersnail,NA,Endangered,2017-04-28,Anguispira kochi kochi,Eastern Banded Tigersnail,NA,Endangered,2021-08-12,Schedule 1,2021-08-12,Ontario,Molluscs,NA,Added to list,2027-04-28,Terrestrial,Anguispira kochi kochi - Eastern Banded Tigersnail,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Banded Tigersnail,NA,Not at Risk,2017-04-28,Anguispira kochi occidentalis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Molluscs,NA,NA,2027-04-28,Terrestrial,Anguispira kochi occidentalis - Western Banded Tigersnail,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Finlayson’s Oakworm Moth,NA,Special Concern,2023-12-01,Anisota finlaysoni,Finlayson’s Oakworm Moth,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Arthropods,Addition,Pending,2033-12-01,Terrestrial,Anisota finlaysoni - Finlayson’s Oakworm Moth,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Manitoba Oakworm Moth,NA,Special Concern,2019-11-29,Anisota manitobensis,Manitoba Oakworm Moth,NA,Special Concern,2024-06-10,Schedule 1,2024-06-10,Manitoba,Arthropods,NA,Added to list,2029-11-29,Terrestrial,Anisota manitobensis - Manitoba Oakworm Moth,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Stoloniferous Pussytoes,NA,Endangered,2004-05-01,Antennaria flagellaris,Stoloniferous Pussytoes,NA,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Vascular Plants,NA,Added to list,2014-05-01,Terrestrial,Antennaria flagellaris - Stoloniferous Pussytoes,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Sprague's Pipit,NA,Threatened,2010-04-25,Anthus spragueii,Sprague's Pipit,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,"Alberta, Manitoba, Saskatchewan",Birds,NA,Added to list,2020-04-25,Terrestrial,Anthus spragueii - Sprague's Pipit,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Whip-poor-will,NA,Special Concern,2022-12-03,Antrostomus vociferus,Eastern Whip-poor-will,NA,Threatened,9999-01-01,Schedule 1,2011-02-04,"Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,Status change,Pending,2032-12-03,Terrestrial,Antrostomus vociferus - Eastern Whip-poor-will,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Pallid Bat,NA,Threatened,2010-11-26,Antrozous pallidus,Pallid Bat,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Mammals (terrestrial),NA,Added to list,2020-11-26,Terrestrial,Antrozous pallidus - Pallid Bat,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Black-foam Lichen,NA,Threatened,2015-05-01,Anzia colpodes,Black-foam Lichen,NA,Threatened,2019-02-25,Schedule 1,2019-02-25,"New Brunswick, Nova Scotia, Ontario, Quebec",Lichens,NA,Added to list,2025-05-01,Terrestrial,Anzia colpodes - Black-foam Lichen,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Spiny Softshell,NA,Endangered,2016-04-29,Apalone spinifera,Spiny Softshell,NA,Endangered,2019-02-25,Schedule 1,2005-01-12,"Ontario, Quebec",Reptiles,NA,Uplisted: Threatened to endangered,2026-04-29,Terrestrial,Apalone spinifera - Spiny Softshell,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Sable Island Bordered Apamea,NA,Not applicable,9999-01-01,Apamea sordens sableana,NA,NA,NA,9999-01-01,NA,9999-01-01,"CMN, CWS, NS, Parks",Arthropods,NA,NA,9999-01-01,Terrestrial,Apamea sordens sableana - Sable Island Bordered Apamea,Terrestrial,Arthropods,Apamea sordens sableana,Sable Island Bordered Apamea,NA,Not applicable,2025-November-01,"CMN, CWS, NS, Parks"
Pine Broomrape,NA,Endangered,2024-05-09,Aphyllon pinorum,Pine Broomrape,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Vascular Plants,Addition,Pending,2034-05-09,Terrestrial,Aphyllon pinorum - Pine Broomrape,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Mountain Beaver,NA,Special Concern,2022-12-03,Aplodontia rufa,Mountain Beaver,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,Mammals (terrestrial),NA,Added to list,2032-12-03,Terrestrial,Aplodontia rufa - Mountain Beaver,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Mormon Metalmark,Prairie population,Special Concern,2014-05-02,Apodemia mormo,Mormon Metalmark,Prairie population,Special Concern,2018-02-02,Schedule 1,2005-01-12,Saskatchewan,Arthropods,NA,Downlisted: Threatened to special concern,2024-05-02,Terrestrial,Apodemia mormo - Mormon Metalmark (Prairie population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Mormon Metalmark,Southern Mountain population,Endangered,2014-05-02,Apodemia mormo,Mormon Metalmark,Southern Mountain population,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Arthropods,NA,Added to list,2024-05-02,Terrestrial,Apodemia mormo - Mormon Metalmark (Southern Mountain population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
,common name not available,Not applicable,9999-01-01,Apotreubia hortoniae,NA,NA,NA,9999-01-01,NA,9999-01-01,"BC, CWS, Parks",Mosses,NA,NA,9999-01-01,Terrestrial,Apotreubia hortoniae - (common name not available),Terrestrial,Mosses,Apotreubia hortoniae,,common name not available,Not applicable,2026-April-01,"BC, CWS, Parks"
Spike-lip Crater,NA,Not at Risk,2003-11-01,Appalachina sayana,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"New Brunswick, Nova Scotia, Ontario, Quebec",Molluscs,NA,NA,2013-11-01,Terrestrial,Appalachina sayana - Spike-lip Crater,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Brown Cat Shark,NA,Data Deficient,2007-04-22,Apristurus brunneus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Fishes (marine),NA,NA,2017-04-22,Aquatic,Apristurus brunneus - Brown Cat Shark,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Golden Eagle,NA,Not at Risk,1996-04-01,Aquila chrysaetos,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, Newfoundland and Labrador, Northwest Territories, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",Birds,NA,NA,2006-04-01,Terrestrial,Aquila chrysaetos - Golden Eagle,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Great Blue Heron fannini subspecies,NA,Non-active,2022-12-03,Ardea herodias fannini,Great Blue Heron fannini subspecies,NA,Special Concern,2010-02-23,Schedule 1,2010-02-23,British Columbia,Birds,NA,Added to list,2032-12-03,Terrestrial,Ardea herodias fannini - Great Blue Heron fannini subspecies,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Pink-footed Shearwater,NA,Endangered,2016-11-27,Ardenna creatopus,Pink-footed Shearwater,NA,Endangered,2019-05-22,Schedule 1,2005-07-14,"British Columbia, Pacific Ocean",Birds,NA,Uplisted: Threatened to endangered,2026-11-27,Terrestrial,Ardenna creatopus - Pink-footed Shearwater,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Vivid Dancer,NA,Special Concern,2015-05-01,Argia vivida,Vivid Dancer,NA,Special Concern,2019-02-25,Schedule 1,2019-02-25,"Alberta, British Columbia",Arthropods,NA,Added to list,2025-05-01,Terrestrial,Argia vivida - Vivid Dancer,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Green Dragon,NA,Special Concern,1984-04-01,Arisaema dracontium,Green Dragon,NA,NA,9999-01-01,NA,9999-01-01,"Ontario, Quebec",Vascular Plants,NA,NA,1994-04-01,Terrestrial,Arisaema dracontium - Green Dragon,Terrestrial,Vascular plants,Arisaema dracontium,Green Dragon,NA,Special Concern,9999-01-01,"CWS, ON, Parks, QC"
Forked Three-awned Grass,NA,Endangered,2002-11-01,Aristida basiramea,Forked Three-awned Grass,NA,Endangered,2005-01-12,Schedule 1,2005-01-12,"Ontario, Quebec",Vascular Plants,NA,Added to list,2012-11-01,Terrestrial,Aristida basiramea - Forked Three-awned Grass,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Athabasca Thrift,NA,Special Concern,2018-04-27,Armeria maritima ssp. interior,Athabasca Thrift,NA,Special Concern,2005-01-12,Schedule 1,2005-01-12,Saskatchewan,Vascular Plants,NA,Added to list,2028-04-27,Terrestrial,Armeria maritima ssp. interior - Athabasca Thrift,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Griscom’s Arnica,NA,Threatened,2014-11-28,Arnica griscomii ssp. griscomii,Griscom’s Arnica,NA,Threatened,2019-02-25,Schedule 1,2019-02-25,"Newfoundland and Labrador, Quebec",Vascular Plants,NA,Added to list,2024-11-28,Terrestrial,Arnica griscomii ssp. griscomii - Griscom’s Arnica,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Tuberous Indian-plantain,NA,Special Concern,2002-05-01,Arnoglossum plantagineum,Tuberous Indian-plantain,NA,Special Concern,2005-01-12,Schedule 1,2005-01-12,Ontario,Vascular Plants,NA,Added to list,2012-05-01,Terrestrial,Arnoglossum plantagineum - Tuberous Indian-plantain,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Wood's Sagebrush,NA,Not at Risk,1997-04-01,Artemisia rupestris ssp. woodii,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Yukon,Vascular Plants,NA,NA,2007-04-01,Terrestrial,Artemisia rupestris ssp. woodii - Wood's Sagebrush,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Rocky Mountain Tailed Frog,NA,Threatened,2013-11-01,Ascaphus montanus,Rocky Mountain Tailed Frog,NA,Threatened,2018-02-02,Schedule 1,2003-06-05,British Columbia,Amphibians,NA,Downlisted: Endangered to threatened,2023-11-01,Terrestrial,Ascaphus montanus - Rocky Mountain Tailed Frog,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Coastal Tailed Frog,NA,Special Concern,2011-11-25,Ascaphus truei,Coastal Tailed Frog,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,Amphibians,NA,Added to list,2021-11-25,Terrestrial,Ascaphus truei - Coastal Tailed Frog,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Four-leaved Milkweed,NA,Endangered,2010-04-25,Asclepias quadrifolia,Four-leaved Milkweed,NA,No Status,2012-07-04,No schedule,9999-01-01,Ontario,Vascular Plants,NA,Not to list,2020-04-25,Terrestrial,Asclepias quadrifolia - Four-leaved Milkweed,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Spinynose Sculpin,NA,Data Deficient,1997-04-01,Asemichthys taylori,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Fishes (marine),NA,NA,2007-04-01,Aquatic,Asemichthys taylori - Spinynose Sculpin,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Short-eared Owl,NA,Threatened,2021-05-05,Asio flammeus,Short-eared Owl,NA,Special Concern,9999-01-01,Schedule 1,2012-06-20,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,Status change,Pending,2031-05-05,Terrestrial,Asio flammeus - Short-eared Owl,NA,NA,NA,NA,NA,NA,9999-01-01,NA
American Hart's-tongue Fern,NA,Special Concern,2016-11-27,Asplenium scolopendrium var. americanum,American Hart's-tongue Fern,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Added to list,2026-11-27,Terrestrial,Asplenium scolopendrium var. americanum - American Hart's-tongue Fern,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Fernald's Milk-vetch,NA,Special Concern,2001-11-01,Astragalus robbinsii var. fernaldii,Fernald's Milk-vetch,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,"Newfoundland and Labrador, Quebec",Vascular Plants,NA,Added to list,2011-11-01,Terrestrial,Astragalus robbinsii var. fernaldii - Fernald's Milk-vetch,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Burrowing Owl,NA,Endangered,2017-04-28,Athene cunicularia,Burrowing Owl,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,"Alberta, British Columbia, Manitoba, Saskatchewan",Birds,NA,Added to list,2027-04-28,Terrestrial,Athene cunicularia - Burrowing Owl,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Davis's Shieldback,NA,Threatened,2020-11-04,Atlanticus davisi,Davis's Shieldback,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Arthropods,Addition,Pending,2030-11-04,Terrestrial,Atlanticus davisi - Davis's Shieldback,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Smooth Yellow False Foxglove,NA,Threatened,2018-04-27,Aureolaria flava,Smooth Yellow False Foxglove,NA,Threatened,2023-02-03,Schedule 1,2023-02-03,Ontario,Vascular Plants,NA,Added to list,2028-04-27,Terrestrial,Aureolaria flava - Smooth Yellow False Foxglove,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Fern-leaved Yellow False Foxglove,NA,Threatened,2018-04-27,Aureolaria pedicularia,Fern-leaved Yellow False Foxglove,NA,Threatened,2023-02-03,Schedule 1,2023-02-03,Ontario,Vascular Plants,NA,Added to list,2028-04-27,Terrestrial,Aureolaria pedicularia - Fern-leaved Yellow False Foxglove,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Downy Yellow False Foxglove,NA,Endangered,2018-04-27,Aureolaria virginica,Downy Yellow False Foxglove,NA,Endangered,2023-02-03,Schedule 1,2023-02-03,Ontario,Vascular Plants,NA,Added to list,2028-04-27,Terrestrial,Aureolaria virginica - Downy Yellow False Foxglove,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Mexican Mosquito-fern,NA,Threatened,2008-11-28,Azolla mexicana,Mexican Mosquito-fern,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,NA,Added to list,2018-11-28,Terrestrial,Azolla mexicana - Mexican Mosquito-fern,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Baccharis,NA,Threatened,2011-11-25,Baccharis halimifolia,Eastern Baccharis,NA,Threatened,2017-06-02,Schedule 1,2017-06-02,Nova Scotia,Vascular Plants,NA,Added to list,2021-11-25,Terrestrial,Baccharis halimifolia - Eastern Baccharis,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bowhead Whale,Bering-Chukchi-Beaufort population,Special Concern,2009-04-26,Balaena mysticetus,Bowhead Whale,Bering-Chukchi-Beaufort population,Special Concern,2007-12-13,Schedule 1,2007-12-13,Arctic Ocean,Mammals (marine),NA,Added to list,2019-04-26,Aquatic,Balaena mysticetus - Bowhead Whale (Bering-Chukchi-Beaufort population),Aquatic,Mammals (marine),Balaena mysticetus,Bowhead Whale ,Bering-Chukchi-Beaufort population,Special Concern,2025-November-01,"Arctic Ocean, CWS, DFO, FJMC, IGC, NT, NWMB, Parks, Pacific Ocean, WMAC-NS, WMAC-NWT, YT"
Bowhead Whale,Davis Strait-Baffin Bay population,Non-active,2009-04-26,Balaena mysticetus,Bowhead Whale,Davis Strait-Baffin Bay population,No Status,9999-01-01,No schedule,9999-01-01,Arctic Ocean,Mammals (marine),NA,NA,2019-04-26,Aquatic,Balaena mysticetus - Bowhead Whale (Davis Strait-Baffin Bay population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bowhead Whale,Eastern Arctic population,Non-active,2005-05-05,Balaena mysticetus,Bowhead Whale,Eastern Arctic population,NA,9999-01-01,NA,9999-01-01,Arctic Ocean,Mammals (marine),NA,NA,2015-05-05,Aquatic,Balaena mysticetus - Bowhead Whale (Eastern Arctic population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bowhead Whale,Eastern Canada-West Greenland population,Special Concern,2009-04-26,Balaena mysticetus,Bowhead Whale,Eastern Canada-West Greenland population,No Status,9999-01-01,No schedule,9999-01-01,Arctic Ocean,Mammals (marine),Addition,Pending,2019-04-26,Aquatic,Balaena mysticetus - Bowhead Whale (Eastern Canada-West Greenland population),Aquatic,Mammals (marine),Balaena mysticetus,Bowhead Whale ,Eastern Canada-West Greenland population,Special Concern,2025-November-01,"Arctic Ocean, Atlantic Ocean, CWS, DFO, EMRWB, HFTCC, NL, NMRWB, NU, NWMB, Parks, QC, TJFB, TWPCB"
