COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision,Estimated re-assessment,Domain,Unique_ID,Domain_status,Taxonomic group_status,Scientific name_status,COSEWIC common name_status,COSEWIC population_status,COSEWIC status_status,Scheduled Assessment,Range_status
Unisexual Ambystoma,Blue-spotted Salamander dependent population,Not at Risk,2016-04-29,Ambystoma (2) laterale - jeffersonianum,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"New Brunswick, Nova Scotia, Ontario, Quebec",Amphibians,NA,NA,2026-04-29,Terrestrial,Ambystoma (2) laterale - jeffersonianum - Unisexual Ambystoma (Blue-spotted Salamander dependent population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northwestern Salamander,NA,Not at Risk,1999-04-01,Ambystoma gracile,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Amphibians,NA,NA,2009-04-01,Terrestrial,Ambystoma gracile - Northwestern Salamander,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Jefferson Salamander,NA,Endangered,2010-11-26,Ambystoma jeffersonianum,Jefferson Salamander,NA,Endangered,2017-06-02,Schedule 1,2003-06-05,Ontario,Amphibians,NA,Uplisted: Threatened to endangered,2020-11-26,Terrestrial,Ambystoma jeffersonianum - Jefferson Salamander,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Unisexual Ambystoma,Jefferson Salamander dependent population,Endangered,2016-04-29,Ambystoma laterale - (2) jeffersonianum,Unisexual Ambystoma,Jefferson Salamander dependent population,Endangered,2021-08-12,Schedule 1,2021-08-12,Ontario,Amphibians,NA,Added to list,2026-04-29,Terrestrial,Ambystoma laterale - (2) jeffersonianum - Unisexual Ambystoma (Jefferson Salamander dependent population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Unisexual Ambystoma,Small-mouthed Salamander dependent population,Endangered,2016-04-29,Ambystoma laterale - texanum,Unisexual Ambystoma,Small-mouthed Salamander dependent population,Endangered,2021-08-12,Schedule 1,2021-08-12,Ontario,Amphibians,NA,Added to list,2026-04-29,Terrestrial,Ambystoma laterale - texanum - Unisexual Ambystoma (Small-mouthed Salamander dependent population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Long-toed Salamander,NA,Not at Risk,2006-04-29,Ambystoma macrodactylum,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia",Amphibians,NA,NA,2016-04-29,Terrestrial,Ambystoma macrodactylum - Long-toed Salamander,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Tiger Salamander,Prairie / Boreal population,Special Concern,2012-11-25,Ambystoma mavortium,Western Tiger Salamander,Prairie / Boreal population,Special Concern,2018-02-02,Schedule 1,2018-02-02,"Alberta, Manitoba, Saskatchewan",Amphibians,NA,Added to list,2022-11-25,Terrestrial,Ambystoma mavortium - Western Tiger Salamander (Prairie / Boreal population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Tiger Salamander,Southern Mountain population,Endangered,2012-11-25,Ambystoma mavortium,Western Tiger Salamander,Southern Mountain population,Endangered,9999-01-01,Schedule 1,2003-06-05,British Columbia,Amphibians,NA,NA,2022-11-25,Terrestrial,Ambystoma mavortium - Western Tiger Salamander (Southern Mountain population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Small-mouthed Salamander,NA,Endangered,2014-05-02,Ambystoma texanum,Small-mouthed Salamander,NA,Endangered,2005-07-14,Schedule 1,2005-07-14,Ontario,Amphibians,NA,Added to list,2024-05-02,Terrestrial,Ambystoma texanum - Small-mouthed Salamander,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Tiger Salamander,Carolinian population,Extirpated,2023-05-05,Ambystoma tigrinum,Eastern Tiger Salamander,Carolinian population,Extirpated,9999-01-01,Schedule 1,2003-06-05,Ontario,Amphibians,NA,NA,2033-05-05,Terrestrial,Ambystoma tigrinum - Eastern Tiger Salamander (Carolinian population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Tiger Salamander,Prairie population,Endangered,2013-11-01,Ambystoma tigrinum,Eastern Tiger Salamander,Prairie population,Endangered,2018-02-02,Schedule 1,2018-02-02,Manitoba,Amphibians,NA,Added to list,2023-11-01,Terrestrial,Ambystoma tigrinum - Eastern Tiger Salamander (Prairie population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Tiger Salamander,Great Lakes population,Non-active,2012-11-25,Ambystoma tigrinum,Tiger Salamander,Great Lakes population,No Status,2018-02-02,No schedule,2003-06-05,Ontario,Amphibians,NA,Struck - WS reassignment,2022-11-25,Terrestrial,Ambystoma tigrinum - Tiger Salamander (Great Lakes population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
